production_id,time_id,site_id,material_id,employee_id,shift_id,produced_volume,unit_cost,date,day,month,year,day_name,site_name,region,latitude,longitude,material_name,material_type,unit_of_measure,quantity,employee_name,position,department,status,hire_date,shift_name,start_time,end_time
1,20240101,4,4,10,3,97,108,2024-01-01,1,1,2024,Monday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
2,20240102,1,1,1,2,88,111,2024-01-02,2,1,2024,Tuesday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Coal,Ore,Ton,2685,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
3,20240102,4,1,2,1,336,424,2024-01-02,2,1,2024,Tuesday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Morning,06:00:00,14:00:00
4,20240103,5,2,4,3,59,343,2024-01-03,3,1,2024,Wednesday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Iron,Metal,Ton,4380,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Night,22:00:00,06:00:00
5,20240104,1,4,4,2,79,281,2024-01-04,4,1,2024,Thursday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
6,20240104,5,1,5,3,293,383,2024-01-04,4,1,2024,Thursday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Coal,Ore,Ton,2685,Bradley Graham,Operator,Logistics,Inactive,2023-01-04,Night,22:00:00,06:00:00
7,20240105,2,3,2,3,323,411,2024-01-05,5,1,2024,Friday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Night,22:00:00,06:00:00
8,20240105,1,4,4,2,493,198,2024-01-05,5,1,2024,Friday,Quarry A,Papua,-2.50919762305275,97.79972601681013,Copper,Metal,Ton,3391,Gregory Mitchell,Operator,Logistics,Inactive,2023-01-03,Afternoon,14:00:00,22:00:00
9,20240106,5,3,1,2,137,296,2024-01-06,6,1,2024,Saturday,Area Tambang C,Sumatera,-6.87962719115127,125.40362888980228,Gold,Metal,Ton,1769,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Afternoon,14:00:00,22:00:00
10,20240107,2,3,2,1,293,465,2024-01-07,7,1,2024,Sunday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Gold,Metal,Ton,1769,Kevin Ramos,Technician,Logistics,Active,2023-01-02,Morning,06:00:00,14:00:00
11,20240107,4,1,1,1,430,325,2024-01-07,7,1,2024,Sunday,Quarry A,Kalimantan,1.973169683940732,120.05575058716045,Coal,Ore,Ton,2685,Gavin Ross,Operator,Mining,Inactive,2023-01-02,Morning,06:00:00,14:00:00
12,20240108,2,4,10,3,378,432,2024-01-08,8,1,2024,Monday,Site Batu B,Papua,9.014286128198322,92.90418060840996,Copper,Metal,Ton,3391,Robert Blair,Technician,Processing,Active,2023-01-01,Night,22:00:00,06:00:00
